      Gx      Gy      Gz     Rot. sign
  -28297   -6104  -15351          -1
  -27726   -3607  -17085          -1
  -26795   -1240  -18818          -1
  -25502     940  -20552          -1
  -23848    2874  -22286          -1
  -21829    4494  -24019          -1
  -19434    5718  -25753          -1
  -16633    6438  -27487          -1
  -13334    6480  -29221          -1
   -9241    5483  -30954          -1
   -1846    1314  -32688          -1
    9572    1837  -31283          -1
   13635    3814  -29549           1
   16233    6034  -27816           1
   17953    8430  -26082           1
   19006   10935  -24348           1
   19499   13490  -22615           1
   19502   16041  -20881           1
   19062   18537  -19147           1
   18223   20936  -17413           1
   17023   23195  -15680           1
   15498   25277  -13946           1
   13686   27151  -12212           1
   11625   28787  -10479           1
    9352   30161   -8745           1
    6909   31253   -7011           1
    4335   32047   -5277           1
    1672   32531   -3544           1
   -1038   32700   -1810           1
   -3755   32550     -76           1
   -6436   32085    1656           1
   -9040   31312    3390           1
  -11528   30241    5124           1
  -13859   28888    6857           1
  -15996   27275    8591           1
  -17904   25426   10325           1
  -19549   23368   12059           1
  -20898   21135   13792           1
  -21921   18763   15526           1
  -22590   16292   17260           1
  -22877   13766   18993           1
  -22755   11234   20727           1
  -22195    8749   22461           1
  -21159    6369   24194           1
  -19597    4162   25928           1
  -17423    2209   27662           1
  -14462     622   29396           1
  -10219    -409   31129           1
    2575    2921   32534          -1
    8062    7743   30801          -1
   11740    9535   29067          -1
   14924   10188   27333          -1
   17790   10090   25599          -1
   20381    9416   23866          -1
   22700    8278   22132          -1
   24737    6755   20398          -1
   26479    4913   18665          -1
   27912    2810   16931          -1
   29025     500   15197          -1
   29808   -1966   13464          -1
   30256   -4541   11730          -1
   30368   -7177    9996          -1
   30145   -9829    8262          -1
   29596  -12454    6529          -1
   28729  -15008    4795          -1
   27561  -17454    3061          -1
   26110  -19752    1328          -1
   24398  -21867    -405          -1
   22453  -23768   -2139          -1
   20302  -25425   -3873          -1
   17980  -26813   -5606          -1
   15522  -27907   -7340          -1
   12967  -28691   -9074          -1
   10356  -29148  -10807          -1
    7731  -29267  -12541          -1
    5139  -29042  -14275          -1
    2627  -28468  -16008          -1
     246  -27546  -17742          -1
   -1952  -26278  -19476          -1
   -3912  -24667  -21210          -1
   -5569  -22720  -22943          -1
   -6852  -20438  -24677          -1
   -7670  -17812  -26411          -1
   -7892  -14807  -28144          -1
   -7291  -11304  -29878          -1
   -5258   -6832  -31612          -1
    -293    5575  -32287          -1
   -1601   11728  -30554           1
   -3384   15218  -28820           1
   -5483   17604  -27086           1
   -7796   19238  -25352           1
  -10248   20267  -23619           1
  -12773   20773  -21885           1
  -15313   20810  -20151           1
  -17818   20419  -18418           1
  -20242   19635  -16684           1
  -22541   18493  -14950           1
  -24678   17027  -13217           1
  -26619   15271  -11483           1
  -28333   13260   -9749           1
  -29794   11032   -8015           1
  -30980    8625   -6282           1
  -31875    6077   -4548           1
  -32465    3431   -2814           1
  -32741     726   -1081           1
  -32699   -1994     652           1
  -32341   -4690    2386           1
  -31671   -7320    4119           1
  -30700   -9842    5853           1
  -29441  -12218    7587           1
  -27914  -14407    9321           1
  -26141  -16374   11054           1
  -24149  -18081   12788           1
  -21970  -19496   14522           1
  -19638  -20585   16255           1
  -17194  -21316   17989           1
  -14680  -21659   19723           1
  -12144  -21582   21457           1
   -9638  -21046   23190           1
   -7220  -20007   24924           1
   -4957  -18396   26658           1
   -2930  -16093   28391           1
